#Target,Product,E [MeV],unc_E [MeV],XS [mb],unc_XS [mb]
La01,132CS,56.0559573931,0.403861859091,0.10675363394,0.00619768083172
La02,132CS,54.3881047408,0.413594406335,0.0731096477552,0.00440260134915
La04,132CS,50.9207084099,0.435300636742,0.0171310753124,0.0013252504182
La05,132CS,49.11952926,0.446352407639,0.0128112231826,0.000910398506509
La01,133BAm,56.0559573931,0.403861859091,11.3638765222,0.658999148252
La02,133BAm,54.3881047408,0.413594406335,12.1573690044,0.68272870776
La04,133BAm,50.9207084099,0.435300636742,12.1705261824,0.66105169213
La05,133BAm,49.11952926,0.446352407639,11.0561618196,0.58828804223
La06,133BAm,47.2705134617,0.459899126496,11.2358866187,0.706454945032
La07,133BAm,44.6621193082,0.480842161937,8.55170225625,0.321277516667
La08,133BAm,41.9215539896,0.505543498593,4.65030170809,0.170193246241
La09,133BAm,39.0393993307,0.534845160577,2.3789318592,0.142293804988
La10,133BAm,35.9766359839,0.570432633973,0.460933819575,0.0239970591937
La02,133BAg,54.3881047408,0.413594406335,0.160308926498,1.37934477316
La04,133BAg,50.9207084099,0.435300636742,0.403256147095,0.83146470241
La06,133BAg,47.2705134617,0.459899126496,0.789303204259,0.751748207876
La07,133BAg,44.6621193082,0.480842161937,0.556083524052,1.23024912711
La01,134CE,56.0559573931,0.403861859091,33.7716877899,2.17081535077
La02,134CE,54.3881047408,0.413594406335,11.2685627978,0.711790704878
La04,134CE,50.9207084099,0.435300636742,2.11320443125,0.147503464845
La05,134CE,49.11952926,0.446352407639,0.929176186005,0.0569876842872
La01,135CE,56.0559573931,0.403861859091,418.261644411,25.257694935
La02,135CE,54.3881047408,0.413594406335,429.893323199,25.1906505974
La04,135CE,50.9207084099,0.435300636742,342.967066131,19.4846554962
La05,135CE,49.11952926,0.446352407639,303.120383598,16.9091112879
La06,135CE,47.2705134617,0.459899126496,231.253165712,16.9289902721
La07,135CE,44.6621193082,0.480842161937,108.901788911,4.47895015498
La08,135CE,41.9215539896,0.505543498593,26.6966056454,1.07432880858
La09,135CE,39.0393993307,0.534845160577,2.63421036893,0.144438841781
La10,135CE,35.9766359839,0.570432633973,0.45098457437,0.021561778258
La01,135LA,56.0559573931,0.403861859091,121.126720599,8.52187127003
La02,135LA,54.3881047408,0.413594406335,108.826361045,7.50389838188
La04,135LA,50.9207084099,0.435300636742,69.1064890396,4.64848911235
La06,135LA,47.2705134617,0.459899126496,37.8889925613,3.09454604533
La07,135LA,44.6621193082,0.480842161937,26.2094536435,1.43454110328
La08,135LA,41.9215539896,0.505543498593,8.43179819161,0.482872371912
La01,137CEg,56.0559573931,0.403861859091,24.724286653,1.84104092161
La02,137CEg,54.3881047408,0.413594406335,28.2220507737,2.07343689946
La04,137CEg,50.9207084099,0.435300636742,27.9435750942,1.99653119726
La05,137CEg,49.11952926,0.446352407639,27.3668868716,1.93273296525
La06,137CEg,47.2705134617,0.459899126496,34.0333647712,2.66040451439
La07,137CEg,44.6621193082,0.480842161937,38.398564284,2.2936649387
La08,137CEg,41.9215539896,0.505543498593,39.3737144162,2.32808491283
La09,137CEg,39.0393993307,0.534845160577,59.2643520073,4.1457571183
La10,137CEg,35.9766359839,0.570432633973,80.1418066554,4.87010831784
La01,137CEm,56.0559573931,0.403861859091,81.1021071703,4.76850006164
La02,137CEm,54.3881047408,0.413594406335,89.6769233979,5.15865090801
La04,137CEm,50.9207084099,0.435300636742,97.1817273002,5.33737906733
La05,137CEm,49.11952926,0.446352407639,111.869702064,6.02480219257
La06,137CEm,47.2705134617,0.459899126496,125.648203011,7.9690075408
La07,137CEm,44.6621193082,0.480842161937,149.716723132,5.75932036368
La08,137CEm,41.9215539896,0.505543498593,178.751081261,6.7094769309
La09,137CEm,39.0393993307,0.534845160577,317.463737124,16.8166869782
La10,137CEm,35.9766359839,0.570432633973,448.638603223,17.9760985874
La01,139CE,56.0559573931,0.403861859091,14.373509706,0.938184661161
La02,139CE,54.3881047408,0.413594406335,14.6021335404,1.19101092912
La04,139CE,50.9207084099,0.435300636742,15.0642418831,1.697588705
La05,139CE,49.11952926,0.446352407639,17.4719702821,1.23925077897
La06,139CE,47.2705134617,0.459899126496,18.9319739362,1.48314142747
La07,139CE,44.6621193082,0.480842161937,21.4650910623,1.30529631297
La08,139CE,41.9215539896,0.505543498593,21.2547434918,1.31144073117
La10,139CE,35.9766359839,0.570432633973,26.9399265569,1.72224462071
Cu01,58CO,55.377408041,0.40780534306,27.8238326173,2.96619262673
Cu02,58CO,53.6887627733,0.417863985502,30.3404068803,3.29987565863
Cu03,58CO,51.9595779331,0.428750773086,31.6949674021,3.37044801522
Cu04,58CO,50.1852058543,0.439615805945,37.0094701674,3.99701617451
Cu05,58CO,48.3644873611,0.451788674712,43.0840062047,4.65892458632
Cu06,58CO,46.4949886821,0.465977632836,46.9195591235,4.98832291435
Cu07,58CO,43.849879777,0.487940662335,50.7794068319,5.33722776154
Cu08,58CO,41.0611936999,0.513990388354,53.8098684248,6.34942922738
Cu09,58CO,38.1401904189,0.544954609018,50.1639743339,5.55864235616
Cu10,58CO,34.9976869108,0.583299219395,40.5681934691,4.31747063085
Cu01,61CU,55.377408041,0.40780534306,87.5379917913,2.98177523823
Cu02,61CU,53.6887627733,0.417863985502,91.6088210369,3.5306379398
Cu03,61CU,51.9595779331,0.428750773086,93.2882419386,3.03711803605
Cu04,61CU,50.1852058543,0.439615805945,100.852718787,3.72370657868
Cu05,61CU,48.3644873611,0.451788674712,109.481209192,4.00260982214
Cu06,61CU,46.4949886821,0.465977632836,120.098346441,3.77871640066
Cu07,61CU,43.849879777,0.487940662335,135.94930094,4.29840654088
Cu08,61CU,41.0611936999,0.513990388354,160.338943321,10.0956752367
Cu09,61CU,38.1401904189,0.544954609018,175.089543341,8.11583854555
Cu10,61CU,34.9976869108,0.583299219395,172.693196625,6.00574814086
Cu01,62ZN,55.377408041,0.40780534306,11.2057470333,0.637323184771
Cu02,62ZN,53.6887627733,0.417863985502,11.647690758,0.615030387518
Cu03,62ZN,51.9595779331,0.428750773086,12.0224622868,0.537445322777
Cu04,62ZN,50.1852058543,0.439615805945,12.4703371811,1.22926650872
Cu05,62ZN,48.3644873611,0.451788674712,12.8598827,0.595602491714
Cu06,62ZN,46.4949886821,0.465977632836,12.6546094356,1.54916083389
Cu07,62ZN,43.849879777,0.487940662335,12.1212928564,0.471731738562
Cu08,62ZN,41.0611936999,0.513990388354,12.8049738133,0.847699177374
Cu09,62ZN,38.1401904189,0.544954609018,13.5428881198,0.688984960411
Cu10,62ZN,34.9976869108,0.583299219395,16.9584658195,0.640481229631
Cu01,63ZN,55.377408041,0.40780534306,16.5863870946,0.683333968932
Cu02,63ZN,53.6887627733,0.417863985502,18.2727972449,0.798620156676
Cu03,63ZN,51.9595779331,0.428750773086,19.2973760758,0.702749732844
Cu04,63ZN,50.1852058543,0.439615805945,21.0251465868,0.831003648687
Cu05,63ZN,48.3644873611,0.451788674712,23.5264602404,0.901132298822
Cu06,63ZN,46.4949886821,0.465977632836,28.5973341345,0.933118215159
Cu07,63ZN,43.849879777,0.487940662335,32.5068782823,1.05905512218
Cu08,63ZN,41.0611936999,0.513990388354,39.8030867943,2.51909309385
Cu09,63ZN,38.1401904189,0.544954609018,46.1709928078,2.15484747653
Cu10,63ZN,34.9976869108,0.583299219395,53.6095733476,1.88416400108
Al01,22NA,55.7358698383,0.405698391076,27.8778920672,2.81251033529
Al03,22NA,52.3374177041,0.426283474689,26.4703648861,6.01595171267
Al04,22NA,50.5736820047,0.437381971646,28.0707759904,6.31375100312
Al06,22NA,46.9057530185,0.462761778077,30.1176125227,5.67878877027
Al07,22NA,44.2808483126,0.484150525079,33.5796071007,4.70779515723
Al08,22NA,41.5144718565,0.509464911473,35.9985197091,5.32164329394
Al09,22NA,38.6204804807,0.539486989603,37.7040445273,5.02326257323
Al10,22NA,35.513794083,0.576447898338,27.5392938924,6.25019724871
Al02,24NA,54.0568003688,0.415602702328,7.71283972378,0.476369929776
Al03,24NA,52.3374177041,0.426283474689,6.76139653679,0.41155119195
Al04,24NA,50.5736820047,0.437381971646,5.90037416962,0.392191761844
Al05,24NA,48.763358884,0.448873438073,5.0982324546,0.426288674344
Al06,24NA,46.9057530185,0.462761778077,4.08476989372,0.457041206438
Al07,24NA,44.2808483126,0.484150525079,2.77368330767,0.327597083944
Al08,24NA,41.5144718565,0.509464911473,1.80174634237,0.309157835228
Al09,24NA,38.6204804807,0.539486989603,1.27513652611,0.343830261807
Al10,24NA,35.513794083,0.576447898338,0.757056343979,0.295926356792